Obs,Gender,SearchTime,Benefits
1786,1,4,698
1787,2,3,1077
1788,1,2,1017
1789,2,4,3200
1790,1,4,600
1791,1,5,700
1792,2,5,740
1793,2,3,740
1794,2,5,740
1795,1,3,
1796,2,3,770
1797,1,3,770
1798,1,5,
1799,1,3,2100
1800,2,3,2900
1801,2,4,770
1802,2,3,1000
1803,1,2,
1804,2,5,1400
1805,2,3,
1806,2,4,1200
1807,1,5,
1808,2,3,700
1809,2,5,714
1810,2,1,1070
1811,1,5,1070
1812,2,4,1070
1813,1,1,1070
1814,2,2,1070
1815,2,2,
1816,2,2,700
1817,1,2,
1818,2,3,3995
1819,2,3,1000
1820,2,2,700
1821,1,5,450
1822,1,1,
1823,2,1,
1824,2,4,700
1825,1,2,
1826,1,1,
1827,2,2,
1828,2,5,
1829,1,3,
1830,1,5,
1831,1,2,
1832,2,2,
1833,2,5,700
1834,1,3,
1835,2,5,
1836,2,2,
1837,1,1,
1838,2,2,
1839,2,2,3299
1840,1,5,
1841,2,3,
1842,1,3,
1843,2,2,3570
1844,2,3,700
1845,2,5,
1846,1,5,
1847,2,1,
1848,1,5,
1849,2,3,
1850,1,2,
1851,2,3,
1852,2,1,
1853,2,1,
1854,1,5,
1855,2,5,
1856,2,3,1800
1857,1,2,
1858,2,1,1070
1859,1,4,
1860,2,2,
1861,1,1,
1862,2,3,400
1863,2,3,430
1864,2,4,
1865,1,4,1000
1866,2,5,
1867,2,3,400
1868,2,4,1700
1869,2,2,
1870,2,3,
1871,2,1,800
1872,2,2,800
1873,1,1,
1874,2,4,400
1875,1,5,
1876,1,5,
1877,1,5,
1878,1,5,
1879,1,1,
1880,2,3,
1881,2,2,
1882,2,4,450
1883,1,5,
1884,1,2,
1885,2,4,2000
1886,2,2,
1887,1,5,
1888,1,3,
1889,2,2,
1890,1,1,
1891,1,4,
1892,1,1,
1893,2,4,1000
1894,1,4,400
1895,2,3,2000
1896,1,2,
1897,1,2,
1898,1,5,
1899,2,3,
1900,1,1,
1901,1,3,
1902,1,3,600
1903,2,4,500
1904,2,4,640
1905,2,5,
1906,1,2,
1907,1,5,
1908,2,5,500
1909,1,2,
1910,2,2,
1911,1,1,
1912,1,5,
1913,1,1,
1914,2,2,
1915,1,2,350
1916,2,5,
1917,2,5,
1918,1,3,
1919,2,2,600
1920,1,5,
1921,1,2,
1922,2,4,937
1923,1,3,
1924,1,5,
1925,2,5,400
1926,1,5,
1927,1,2,
1928,1,5,
1929,2,5,
1930,1,5,
1931,1,5,
1932,1,5,
1933,1,5,
1934,1,3,1200
1935,2,5,386
1936,2,4,700
1937,1,5,
1938,1,5,
1939,2,3,1500
1940,2,4,620
1941,2,5,450
1942,1,4,330
1943,1,2,
1944,2,5,1050
1945,1,1,
1946,2,5,
1947,2,5,
1948,2,5,
1949,2,5,
1950,2,3,
1951,1,3,
1952,2,1,
1953,2,3,
1954,2,5,
1955,2,4,500
1956,2,2,
1957,2,1,
1958,2,5,
1959,1,3,
1960,2,5,
1961,2,1,1500
1962,1,5,420
1963,2,5,1000
1964,1,2,
1965,1,2,
1966,2,2,
1967,2,5,
1968,1,5,
1969,2,5,350
1970,2,4,
1971,1,5,
1972,2,3,
1973,1,5,680
1974,2,3,350
1975,2,4,300
1976,2,5,
1977,1,5,
1978,2,5,
1979,1,2,800
1980,1,3,
1981,2,1,
1982,1,4,1400
1983,2,4,450
1984,2,5,
1985,2,1,
1986,1,5,
1987,1,5,400
1988,1,5,400
1989,1,3,410
1990,1,5,
1991,1,3,1300
1992,1,3,
1993,2,3,
1994,2,2,2290
1995,1,1,
1996,1,4,
1997,1,3,
1998,1,2,
1999,2,5,
2000,2,4,
2001,2,5,700
2002,1,5,591
2003,1,5,
2004,2,2,2000
2005,2,3,3100
2006,2,3,
2007,2,2,
2008,2,5,
2009,1,2,
2010,1,2,
2011,2,5,
2012,1,2,540
2013,1,2,
2014,2,4,
2015,2,5,
2016,2,5,
2017,1,2,
2018,1,1,
2019,1,2,
2020,1,5,
2021,1,3,2700
2022,2,5,
2023,1,5,
2024,2,3,
2025,1,4,
2026,2,2,
2027,1,2,
2028,2,4,
2029,2,4,
2030,1,4,
2031,2,4,
2032,1,4,
2033,2,3,
2034,2,4,
2035,1,1,
2036,2,3,2000
2037,2,4,
2038,2,4,1500
2039,1,5,
2040,1,4,
2041,1,2,
2042,2,5,
2043,1,5,
2044,2,4,650
2045,1,4,
2046,1,3,
2047,1,3,
2048,1,5,
2049,1,5,
2050,1,2,
2051,1,2,
2052,2,2,500
2053,2,5,
2054,1,2,
2055,1,2,
2056,2,2,1900
2057,2,1,
2058,1,2,
2059,2,2,
2060,2,3,
2061,2,2,
2062,1,2,
2063,2,5,1100
2064,1,1,
2065,1,2,
2066,1,2,800
2067,2,5,900
2068,1,5,
2069,1,1,
2070,2,4,1100
2071,1,4,
2072,1,3,
2073,2,1,
2074,1,5,
2075,1,3,700
2076,1,2,
2077,2,3,
2078,2,3,
2079,1,3,
2080,1,5,
2081,1,5,
2082,2,2,1300
2083,2,1,
2084,1,2,
2085,2,5,
2086,1,2,
2087,1,2,
2088,2,5,
2089,2,5,
2090,2,5,
2091,2,2,
2092,2,5,1300
2093,2,4,1000
2094,1,2,
2095,2,4,
2096,2,1,
2097,1,2,
2098,2,2,1300
2099,2,3,
2100,1,5,
2101,2,4,
2102,2,1,
2103,2,5,
2104,2,1,
2105,2,1,
2106,2,3,70
2107,2,4,1000
2108,1,5,96
2109,1,1,
2110,1,1,
2111,1,3,
2112,1,1,
2113,1,1,
2114,2,1,
2115,2,4,
2116,1,3,
2117,2,4,
2118,2,3,
2119,1,2,
2120,1,3,
2121,2,2,
2122,1,5,
2123,1,5,880
2124,1,5,
2125,2,5,1050
2126,1,2,
2127,2,3,1000
2128,1,4,450
2129,1,2,600
2130,2,3,630
2131,1,5,
2132,1,5,380
2133,2,2,
2134,1,5,
2135,2,4,
2136,2,5,
2137,1,5,
2138,1,5,
2139,2,5,420
2140,2,4,350
2141,1,4,230
2142,2,4,250
2143,2,3,
2144,2,4,400
2145,2,3,
2146,1,3,
2147,1,4,1000
2148,2,3,2500
2149,2,5,430
2150,1,2,
2151,2,2,400
2152,1,5,
2153,2,4,700
2154,1,1,
2155,2,2,450
2156,1,2,
2157,2,4,400
2158,2,4,660
2159,1,2,
2160,2,2,
2161,1,5,
2162,2,1,
2163,2,4,450
2164,2,3,450
2165,2,2,
2166,1,5,
2167,1,1,1000
2168,2,5,420
2169,1,5,
2170,1,3,
2171,2,5,
2172,2,3,400
2173,1,4,
2174,2,2,900
2175,1,5,
2176,1,5,
2177,1,1,
2178,2,2,600
2179,2,5,
2180,2,5,
2181,1,5,450
2182,2,5,860
2183,2,5,
2184,1,5,450
2185,1,5,
2186,1,2,
2187,1,2,
2188,2,2,2200
2189,1,5,
2190,1,4,
2191,1,2,
2192,2,5,
2193,2,2,
2194,2,4,2000
2195,1,5,
2196,1,2,820
2197,2,2,700
2198,2,1,
2199,1,5,
2200,1,2,
2201,2,4,
2202,1,2,
2203,1,2,
2204,2,4,350
2205,2,5,900
2206,1,1,
2207,2,3,880
2208,1,5,480
2209,1,2,
2210,2,4,
2211,1,2,
2212,1,5,
2213,2,2,
2214,1,5,
2215,2,5,250
2216,2,3,300
2217,1,5,250
2218,1,3,
2219,2,3,365
2220,2,5,1200
2221,1,5,400
2222,1,2,1000
2223,2,2,
2224,2,5,
2225,1,5,
2226,2,5,
2227,2,4,
2228,2,5,
2229,2,4,450
2230,2,2,
2231,1,2,
2232,1,3,
2233,1,1,
2234,2,2,
2235,1,1,
2236,2,4,
2237,2,4,
2238,1,2,
2239,1,3,
2240,2,5,
2241,2,3,
2242,2,1,
2243,2,1,
2244,1,2,
2245,1,3,
2246,1,4,
2247,1,5,
2248,1,3,586
2249,1,5,
2250,1,3,
2251,2,4,2000
2252,1,5,
2253,1,4,
2254,1,4,
2255,1,2,
2256,1,4,
2257,2,2,
2258,2,4,350
2259,2,4,1900
2260,2,3,700
2261,1,5,
2262,1,1,
2263,1,1,
2264,1,1,
2265,1,5,
2266,2,5,
2267,2,5,1000
2268,1,2,
2269,1,4,
2270,1,2,
2271,2,2,
2272,1,5,
2273,2,5,
2274,1,5,
2275,2,5,
2276,1,3,
2277,1,1,
2278,2,3,
2279,2,4,600
2280,1,2,
2281,2,5,400
2282,2,5,
2283,1,2,600
2284,2,3,800
2285,1,5,
2286,1,4,
2287,2,4,570
2288,1,3,
2289,1,2,
2290,1,2,
2291,2,3,800
2292,1,5,286
2293,2,3,286
2294,2,5,
2295,2,3,608
2296,1,3,
2297,1,4,
2298,1,4,
2299,2,4,
2300,1,5,
2301,2,5,
2302,1,4,
2303,2,4,
2304,1,3,
2305,2,3,
2306,1,1,
2307,1,3,
2308,2,3,
2309,1,2,
2310,2,4,
2311,1,4,
2312,1,5,
2313,2,5,
2314,1,5,
2315,2,2,
2316,2,3,
2317,1,3,
2318,1,5,
2319,1,4,
2320,1,3,
2321,2,4,1500
2322,2,3,
2323,2,3,970
2324,2,1,300
2325,2,2,
2326,1,2,
2327,2,5,
2328,2,3,
2329,2,4,60
2330,1,3,480
2331,1,4,
2332,1,5,
2333,2,5,
2334,1,5,
2335,1,5,
2336,1,5,
2337,2,2,1600
2338,1,4,
2339,2,5,
2340,1,5,
2341,2,2,1754
2342,1,4,
2343,2,5,
2344,1,4,
2345,2,3,940
2346,2,5,
2347,1,2,
2348,1,1,
2349,2,1,
2350,2,1,152
2351,1,5,330
2352,1,1,
2353,1,5,
2354,2,2,
2355,1,1,
2356,1,5,
2357,1,3,
2358,2,3,
2359,2,3,
2360,2,2,800
2361,1,2,
2362,2,3,
2363,2,1,
2364,2,3,
2365,2,3,
2366,1,4,
2367,2,5,
2368,2,1,
2369,1,4,
2370,2,3,1667
2371,1,5,
2372,2,5,
2373,1,4,
2374,2,4,
2375,1,5,350
2376,1,3,
2377,1,5,
2378,1,3,749
2379,1,1,
2380,1,2,
2381,2,5,
2382,1,4,
2383,1,2,
2384,1,2,
2385,1,5,
2386,1,5,
2387,1,2,
2388,2,5,
2389,2,5,1000
2390,2,5,
2391,1,3,
2392,2,4,400
2393,1,4,400
2394,2,5,
2395,2,4,600
2396,1,5,
2397,1,5,
2398,1,3,
2399,1,5,
2400,2,2,
2401,2,4,
2402,2,4,
2403,1,2,
2404,1,2,
2405,2,5,
2406,1,5,
2407,1,1,
2408,2,5,
2409,2,5,
2410,2,3,
2411,2,2,
2412,2,5,600
2413,1,5,
2414,1,4,
2415,2,2,
2416,1,1,
2417,2,4,
2418,2,3,900
2419,2,5,650
2420,1,3,
2421,1,5,
2422,1,4,
2423,1,5,
2424,2,5,
2425,1,1,
2426,2,4,
2427,1,2,
2428,1,3,
2429,1,5,
2430,1,1,
2431,2,2,
2432,2,4,425
2433,2,5,
2434,2,3,
2435,2,5,
2436,1,4,1500
2437,1,5,
2438,2,5,
2439,1,5,
2440,2,5,
2441,1,5,
2442,1,4,
2443,2,4,390
2444,2,5,
2445,2,5,
2446,2,5,
2447,1,5,
2448,1,5,
2449,2,1,
2450,1,1,
2451,2,5,
2452,1,2,
2453,1,3,
2454,1,5,
2455,2,5,
2456,2,3,2000
2457,2,4,
2458,1,4,
2459,1,1,
2460,1,5,
2461,1,5,
2462,1,5,
2463,2,5,1100
2464,1,5,395
2465,2,5,760
2466,2,5,
2467,2,1,
2468,2,5,
2469,1,3,
2470,2,5,
2471,2,1,
2472,1,1,
2473,1,5,
2474,1,1,
2475,1,1,
2476,2,3,650
2477,2,1,
2478,1,3,
2479,2,5,
2480,1,3,
2481,1,3,
2482,1,4,
2483,1,4,450
2484,1,5,
2485,1,4,
2486,1,4,450
2487,2,4,
2488,1,4,
2489,2,4,
2490,1,5,
2491,1,5,
2492,2,5,
2493,2,5,
2494,2,5,
2495,1,4,
2496,2,4,
2497,1,4,
2498,1,3,
2499,1,5,
2500,2,5,
2501,2,5,300
2502,1,5,
2503,1,5,
2504,2,5,350
2505,2,5,
2506,1,5,
2507,1,5,
2508,2,5,
2509,1,5,
2510,2,5,350
2511,2,5,350
2512,2,2,
2513,2,3,
2514,2,3,
2515,1,4,
2516,1,4,
2517,1,2,
2518,1,3,
2519,1,5,
2520,2,5,
2521,1,5,
2522,2,5,
2523,2,5,400
2524,2,4,750
2525,1,2,
2526,1,4,
2527,2,5,350
2528,1,3,
2529,2,3,580
2530,2,4,620
2531,2,2,
2532,1,4,
2533,2,4,
2534,1,2,
2535,1,3,
2536,1,2,
2537,1,2,
2538,1,5,
2539,2,5,
2540,1,5,
2541,1,5,
2542,2,5,
2543,1,5,
2544,2,4,
2545,2,4,
2546,1,5,
2547,2,5,
2548,2,5,
2549,2,5,
2550,2,5,
2551,1,5,
2552,1,5,
2553,1,5,
2554,1,5,
2555,2,5,
2556,1,5,
2557,2,5,
2558,1,5,820
2559,1,5,650
2560,1,4,370
2561,1,5,820
2562,1,5,
2563,2,5,
2564,1,5,
2565,1,5,
2566,1,5,
2567,2,4,750
2568,1,5,
2569,2,5,
2570,1,5,
2571,2,5,
2572,2,4,660
2573,1,5,
2574,1,5,
2575,2,2,
2576,2,2,
2577,2,5,300
2578,2,5,300
2579,2,5,300
2580,1,5,
2581,2,5,
2582,2,5,
2583,1,5,300
2584,2,5,
2585,2,5,
2586,2,5,
2587,1,5,
2588,2,5,
2589,2,5,
2590,1,5,300
2591,1,5,
2592,2,5,
2593,2,5,
2594,1,3,450
2595,1,4,450
2596,2,4,450
2597,2,4,450
2598,1,4,45
2599,2,4,450
2600,2,4,450
2601,1,4,450
2602,1,5,
2603,2,5,
2604,1,3,
2605,1,5,
2606,2,5,
2607,2,5,
2608,2,4,
2609,1,3,
2610,2,5,
2611,1,3,
2612,1,3,
2613,1,2,
2614,2,4,288
2615,1,4,288
2616,1,5,288
2617,1,5,
2618,1,5,
2619,1,5,
2620,2,5,
2621,1,5,420
2622,2,5,420
2623,1,5,
2624,2,5,
2625,2,5,
2626,2,5,
2627,1,5,420
2628,2,5,
2629,2,5,420
2630,2,5,
2631,2,5,440
2632,1,5,
2633,2,2,
2634,1,5,320
2635,2,5,320
2636,2,4,
2637,1,5,750
2638,2,2,
2639,1,2,
2640,1,5,
2641,2,5,
2642,2,5,
2643,1,5,700
2644,1,5,
2645,2,4,700
2646,2,3,
2647,2,4,
2648,1,5,1000
2649,1,5,
2650,2,5,
2651,2,5,
2652,2,5,
2653,2,5,
2654,1,5,
2655,2,5,
2656,2,1,
2657,1,4,
2658,2,3,
2659,1,1,
2660,2,5,
2661,1,5,
2662,2,5,
2663,2,5,
2664,1,5,
2665,1,5,
2666,1,5,
2667,1,5,
2668,2,5,
2669,2,4,
2670,1,5,
2671,1,5,
2672,1,5,
2673,2,5,
2674,1,4,450
2675,2,4,450
2676,1,5,
2677,2,5,
2678,1,5,
2679,1,5,
2680,1,5,
2681,1,5,
2682,1,5,
2683,2,5,
2684,1,5,
2685,1,5,
2686,1,5,
2687,2,5,
2688,1,5,
2689,1,5,
2690,2,5,
2691,2,3,
2692,1,5,
2693,2,3,
2694,1,4,
2695,1,5,
2696,1,4,
2697,1,5,
2698,1,5,
2699,2,3,1000
2700,1,2,
2701,2,5,
2702,2,5,
2703,1,2,
2704,1,5,
2705,1,5,
2706,1,5,
2707,2,5,
2708,1,5,
2709,1,5,
2710,2,5,
2711,1,5,
2712,1,2,
2713,2,2,
2714,1,2,
2715,1,2,
2716,1,5,
2717,1,3,
2718,1,3,
2719,1,5,
2720,2,5,
2721,2,4,524
2722,1,5,
2723,2,5,
2724,1,3,
2725,2,3,
2726,1,4,
2727,1,2,
2728,1,5,300
2729,1,5,
2730,2,5,750
2731,1,2,
2732,2,1,
2733,1,2,
2734,2,2,
2735,2,5,
2736,1,1,
2737,2,1,
2738,1,3,900
2739,1,5,700
2740,1,5,
2741,1,5,
2742,1,2,
2743,1,5,760
2744,1,5,
2745,2,5,
2746,2,2,
2747,1,2,
2748,1,5,
2749,1,5,
2750,1,4,
2751,1,2,
2752,2,2,
2753,1,5,
2754,2,5,
2755,1,5,
2756,1,3,
2757,1,5,
2758,2,5,
2759,1,5,
2760,2,5,
2761,1,5,
2762,2,3,
2763,1,1,
2764,2,5,
2765,1,1,
2766,1,1,1000
2767,2,5,
2768,1,2,
2769,2,2,
2770,2,2,
2771,1,2,
2772,2,5,750
2773,2,4,600
2774,1,5,
2775,1,4,
2776,2,4,
2777,2,5,
2778,1,4,
2779,2,4,350
2780,1,2,
2781,1,5,
2782,2,5,
2783,1,5,
2784,1,5,
2785,2,5,
2786,2,4,300
2787,2,5,750
2788,2,5,450
2789,2,5,300
2790,2,4,750
2791,1,5,
2792,2,5,
2793,1,4,
2794,2,5,320
2795,1,5,
2796,1,5,
2797,2,5,350
2798,1,5,
2799,2,5,500
2800,2,5,320
2801,2,5,320
2802,1,5,
2803,1,5,
2804,1,5,
2805,1,5,
2806,2,5,1500
2807,1,3,
2808,1,4,
2809,1,2,
2810,1,2,
2811,1,1,
2812,1,5,
2813,2,5,
2814,2,5,
2815,1,5,
2816,1,5,
2817,2,5,
2818,2,5,
2819,1,5,
2820,1,5,
2821,1,5,
2822,2,5,
2823,1,2,
2824,1,4,
2825,1,2,
2826,1,2,
2827,1,5,
2828,2,5,
2829,1,5,
2830,2,2,
2831,2,4,
2832,1,5,
2833,2,5,
2834,2,4,
2835,1,4,
2836,2,5,
2837,2,5,
2838,2,2,
2839,1,5,750
2840,2,5,
2841,2,4,
2842,1,5,
2843,1,1,800
2844,2,1,800
2845,1,5,
2846,1,4,
2847,2,3,
2848,1,5,
2849,2,5,
2850,1,5,
2851,1,2,
2852,1,2,
2853,1,5,
2854,1,1,
2855,1,4,
2856,1,5,
2857,2,5,
2858,1,5,
2859,1,5,
2860,1,5,
2861,2,4,
2862,1,3,300
2863,1,5,
2864,2,5,570
2865,1,5,
2866,1,5,
2867,1,5,
2868,1,5,
2869,2,5,300
2870,2,5,
2871,1,5,
2872,2,5,
2873,1,3,
2874,2,5,
2875,1,3,
2876,2,5,
2877,2,4,
2878,1,5,
2879,2,5,
2880,2,4,400
2881,2,4,
2882,2,3,300
2883,2,5,
2884,1,4,
2885,2,5,
2886,1,5,
2887,2,2,
2888,1,4,386
2889,2,5,
2890,1,4,
2891,1,5,
2892,2,4,
2893,1,4,
2894,2,4,450
2895,2,2,600
2896,1,5,
2897,1,3,
2898,2,4,6800
2899,1,4,300
2900,2,4,400
2901,1,1,
2902,2,2,
2903,2,5,
2904,2,5,
2905,1,3,
2906,2,3,
2907,1,3,
2908,1,2,
2909,1,2,
2910,1,5,
2911,1,5,
2912,1,5,
2913,1,3,
2914,2,5,
2915,2,5,
2916,2,2,
2917,2,2,
2918,2,5,
2919,1,3,
2920,1,2,
2921,2,1,
2922,1,5,
2923,1,5,
2924,1,5,
2925,1,5,
2926,2,5,500
2927,2,5,520
2928,2,5,500
2929,1,5,500
2930,1,2,
2931,1,2,519
2932,2,5,
2933,2,5,
2934,2,5,
2935,1,5,
2936,2,5,500
2937,1,5,
2938,2,1,
2939,2,5,490
2940,1,5,700
2941,1,1,
2942,2,5,
2943,1,2,
2944,1,1,
2945,2,5,1059
2946,2,4,1059
2947,1,1,
2948,1,5,700
2949,2,2,
2950,2,1,1000
2951,1,1,
2952,1,4,670
2953,1,3,670
2954,2,2,
2955,2,2,
2956,1,2,
2957,2,5,
2958,2,2,700
2959,1,5,
2960,2,3,
2961,1,3,
2962,1,5,
2963,1,2,700
2964,2,3,1500
2965,1,1,800
2966,2,2,300
2967,2,2,1500
2968,2,3,250
2969,1,3,
2970,1,1,450
2971,1,4,
2972,1,2,
2973,2,5,500
2974,1,2,
2975,1,1,3000
2976,1,3,300
2977,1,2,
2978,1,2,
2979,1,2,
2980,1,5,500
2981,2,5,
2982,2,4,
2983,1,2,
2984,2,5,850
2985,1,5,
2986,2,2,
2987,1,5,
2988,1,2,
2989,1,5,
2990,1,5,
2991,1,5,
2992,1,4,
2993,2,2,771
2994,1,4,
2995,1,2,
2996,2,5,
2997,1,2,
2998,1,4,
2999,2,4,
3000,1,3,
3001,2,2,
3002,1,4,350
3003,2,4,
3004,1,4,700
3005,1,4,
3006,1,4,650
3007,1,5,350
3008,2,2,
3009,1,5,
3010,2,4,700
3011,1,5,300
3012,2,5,
3013,1,1,
3014,1,3,133
3015,1,2,
3016,1,4,480
3017,2,4,400
3018,1,4,750
3019,2,5,1000
3020,1,3,
3021,1,3,
3022,2,3,
3023,1,4,
3024,2,2,760
3025,1,2,
3026,2,5,
3027,1,5,
3028,1,5,
3029,1,3,
3030,2,4,
3031,2,2,
3032,2,5,
3033,1,3,
3034,2,5,
3035,1,1,
3036,1,3,
3037,1,1,
3038,1,4,
3039,1,1,
3040,2,5,
3041,2,4,
3042,2,5,530
3043,2,5,
3044,1,3,
3045,2,5,
3046,1,1,
3047,1,4,300
3048,2,2,
3049,1,5,
3050,2,1,
3051,2,2,
3052,2,2,
3053,2,4,400
3054,1,2,
3055,2,2,
3056,2,4,
3057,1,3,
3058,2,5,
3059,2,4,270
3060,2,4,1500
3061,2,2,
3062,1,4,300
3063,1,2,850
3064,2,3,
3065,2,4,
3066,1,1,
3067,1,4,
3068,2,4,200
3069,1,5,
3070,2,4,
3071,1,2,
3072,2,3,
3073,1,4,
3074,2,5,
3075,1,5,
3076,1,5,
3077,2,1,
3078,2,4,
3079,2,5,
3080,2,5,
3081,2,4,
3082,1,5,
3083,2,4,1000
3084,1,5,
3085,2,4,
3086,2,5,
3087,1,2,
3088,1,4,
3089,2,1,
3090,2,5,397
3091,1,3,
3092,2,4,
3093,1,5,397
3094,2,5,397
3095,2,2,
3096,2,2,
3097,2,5,
3098,2,5,250
3099,1,2,
3100,1,3,
3101,2,4,
3102,1,4,
3103,2,2,
3104,1,5,
3105,1,5,
3106,2,5,
3107,1,5,
3108,1,5,
3109,1,4,
3110,1,5,
3111,1,2,
3112,2,5,
3113,2,1,
3114,2,2,
3115,1,4,
3116,2,4,
3117,1,2,
3118,2,5,
3119,2,2,250
3120,2,3,
3121,1,5,
3122,1,4,6500
3123,2,5,1500
3124,1,2,
3125,1,4,
3126,2,2,
3127,1,3,
3128,1,2,
3129,1,5,
3130,2,5,
3131,1,3,
3132,1,3,
3133,2,1,
3134,2,2,
3135,1,5,
3136,1,3,
3137,1,5,
3138,1,5,999
3139,1,5,
3140,1,5,
3141,2,5,
3142,1,2,
3143,2,5,407
3144,1,4,
3145,1,2,
3146,2,3,1018
3147,1,3,1018
3148,2,5,1800
3149,1,5,
3150,2,3,
3151,2,3,
3152,1,5,996
3153,2,5,996
3154,1,5,400
3155,2,5,700
3156,1,5,
3157,2,1,
3158,2,5,790
3159,1,5,397
3160,1,2,
3161,1,2,
3162,1,4,
3163,2,2,
3164,1,1,
3165,2,3,
3166,1,4,340
3167,2,4,
3168,2,5,500
3169,2,3,600
3170,1,3,600
3171,1,3,
3172,1,1,
3173,1,2,
3174,1,3,
3175,1,2,
3176,2,3,700
3177,1,4,
3178,2,1,
3179,1,2,
3180,1,1,
3181,2,2,72
3182,1,3,300
3183,2,4,
3184,1,4,
3185,2,4,
3186,2,2,
3187,2,4,
3188,1,5,
3189,2,2,
3190,2,5,
3191,2,3,
3192,2,2,
3193,2,1,
3194,1,4,540
3195,1,2,700
3196,2,5,1800
3197,2,2,963
3198,1,2,
3199,1,4,900
3200,1,2,340
3201,2,5,340
3202,2,2,
3203,2,5,600
3204,2,4,980
3205,2,3,400
3206,2,2,
3207,1,1,
3208,2,5,
3209,2,5,
3210,1,3,
3211,1,3,
3212,1,3,
3213,1,2,
3214,1,5,
3215,2,5,
3216,1,5,
3217,1,5,
3218,1,1,
3219,1,2,
3220,2,5,1200
3221,1,5,650
3222,1,5,650
3223,1,2,
3224,2,2,
3225,2,4,1245
3226,2,2,
3227,1,1,
3228,1,1,
3229,2,5,
3230,2,5,
3231,1,2,
3232,1,5,
3233,1,4,
3234,1,5,
3235,1,5,
3236,1,5,
3237,1,2,
3238,1,1,
3239,2,5,
3240,2,5,500
3241,2,5,
3242,2,5,
3243,1,4,
3244,1,1,
3245,2,3,
3246,2,1,
3247,1,2,
3248,2,5,
3249,2,2,
3250,2,4,
3251,2,5,
3252,1,5,
3253,1,5,
3254,1,2,
3255,2,1,
3256,1,1,
3257,2,4,
3258,2,4,
3259,1,2,
3260,2,1,117
3261,1,2,
3262,1,3,
3263,2,1,
3264,1,1,
3265,1,5,
3266,1,4,
3267,1,1,
3268,2,5,
3269,2,2,
3270,1,2,
3271,2,2,
3272,1,2,
3273,1,5,
3274,2,5,
3275,2,4,
3276,1,4,
3277,2,3,
3278,1,3,
3279,2,2,
3280,2,5,800
3281,2,2,
3282,1,2,
3283,1,5,
3284,1,2,
3285,1,3,
3286,1,2,
3287,2,3,1050
3288,2,3,800
